"commitish","variant","env","scope","batchId","count","scatterDurationInSeconds","scatterDurationPerRecordInSeconds","gatherDurationInSeconds","gatherDurationPerRecordInSeconds","batchStartTime","batchEndTime","batchDurationInSeconds","batchDurationPerRecordInSeconds","outcome"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","6bfe68cc-85e5-4bc2-be0c-7d976c2a7d79","101","","","","","2020-06-20T11:36:55","2020-06-20T11:36:58","3.0","0.0297","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","943c04dc-1306-4523-9051-cc58d829b318","11","","","","","2020-06-20T11:36:40","2020-06-20T11:36:41","1.0","0.0909","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","e6bdd93f-7f19-4a9c-b0c6-271f84cab59c","11","","","","","2020-06-20T10:52:59","2020-06-20T10:53:01","2.0","0.1818","success"
"cedb5dd-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","56fee523-8813-4791-9607-f063b759a884","11","","","","","2020-06-21T11:07:27","2020-06-21T11:07:30","3.0","0.2727","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","423c8d3b-dc1c-4d87-8fb3-ac49fa58831d","11","","","","","2020-06-20T11:37:40","2020-06-20T11:37:42","2.0","0.1818","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","c919283e-ece5-4f7c-946b-761709c5d93d","101","","","","","2020-06-20T11:33:09","2020-06-20T11:33:13","4.0","0.0396","success"
"0eb233d-dirty","s3-sqs-lambda-async","nonlive","nonlive-conni-","00f47887-aa0a-413b-ae6b-56bbefcb4a0f","101","","","","","2020-06-20T09:46:48","2020-06-20T09:46:52","4.0","0.0396","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","56ba9963-f86a-42e3-a29b-881ceb7b556d","10001","","","","","2020-06-20T11:17:14","2020-06-20T11:19:41","147.0","0.0147","success"
"cedb5dd-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","eb0bbc3a-3b08-4567-87f5-86ca3f36b131","100001","","","","","2020-06-21T11:08:32","2020-06-21T11:08:56","24.0","0.0002","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","a678980e-61da-425c-9ec4-26c5b7b611d8","101","","","","","2020-06-20T11:37:48","2020-06-20T11:37:54","6.0","0.0594","success"
"628d73c","s3-sqs-lambda-async","nonlive","nonlive-conni-","1dc0f527-0866-48ce-a261-ca68c10c7b48","1001","","","","","2020-06-20T09:50:08","2020-06-20T09:50:33","25.0","0.025","success"
"cedb5dd-dirty","s3-sqs-lambda-async","nonlive","nonlive-conni-","e333b1d2-db3e-4be5-bf1a-ee16f5a5af28","1001","","","","","2020-06-21T11:19:18","2020-06-21T11:19:41","23.0","0.023","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","a89bb171-bb1f-4ef1-b397-80a78718439a","11","","","","","2020-06-20T11:32:55","2020-06-20T11:32:56","1.0","0.0909","success"
"cedb5dd-dirty","s3-sqs-lambda-sync","nonlive","nonlive-conni-","181f8fb5-ba5e-453b-b1db-8fae01517564","11","","","","","2020-06-21T11:17:41","2020-06-21T11:17:45","4.0","0.3636","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","293e1085-b9c1-4d12-8ffb-a06936fb8877","11","","","","","2020-06-20T10:45:42","2020-06-20T10:45:44","2.0","0.1818","success"
"7687f73","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","ab3cd714-7137-49d5-a874-013e6ee36feb","100001","","","","","2020-06-20T19:38:46","2020-06-20T19:39:09","23.0","0.0002","success"
"7687f73","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","0c686e82-5e0a-4854-81db-921a0da5ef49","11","","","","","2020-06-20T19:37:17","2020-06-20T19:37:20","3.0","0.2727","success"
"a1fa02e-dirty","s3-sqs-lambda-async","nonlive","nonlive-conni-","1f9f1c16-8c38-4b8b-bb0a-0cd1e8df7b73","11","0.0","0.0","0.0","0.0","2020-06-21T11:50:42","2020-06-21T11:50:44","2.0","0.1818","success"
"67838f0","s3-sqs-lambda-sync","nonlive","nonlive-conni-","265b7c27-2040-4104-8c52-7d8bb0e995ce","10001","","","","","2020-06-20T10:12:19","2020-06-20T10:36:29","1450.0","0.145","success"
"5e23baf-dirty","s3-sqs-lambda-async","nonlive","nonlive-conni-","620ea072-8012-4717-a2c5-d0481fea48a7","1001","","","","","2020-06-20T15:11:48","2020-06-20T15:12:13","25.0","0.025","success"
"7687f73","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","6ece78c9-ec49-44a5-93f2-e7acadb5f5a1","1001","","","","","2020-06-20T19:37:56","2020-06-20T19:37:58","2.0","0.002","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","90197e2d-ee22-47f9-a5b6-6aeb6ec94a1e","1001","","","","","2020-06-20T10:47:11","2020-06-20T10:47:33","22.0","0.022","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","c2f1c86d-0c1f-4c14-bef3-93ffd645f13c","1001","","","","","2020-06-20T10:48:04","2020-06-20T10:49:01","57.0","0.0569","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","9c47502a-a777-49b3-acde-96dc0238aad7","1001","","","","","2020-06-20T11:38:04","2020-06-20T11:39:02","58.0","0.0579","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","9562a17a-2ffa-4d34-9709-7e3c14807c08","11","","","","","2020-06-20T11:37:44","2020-06-20T11:37:45","1.0","0.0909","success"
"c096b86","s3-sqs-lambda-sync","nonlive","nonlive-conni-","4bd447f8-9392-4c7f-b65e-66fc49957e0e","101","","","","","2020-06-20T10:45:54","2020-06-20T10:46:01","7.0","0.0693","success"
"a1fa02e-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","cbfb8369-0961-44c7-a2f3-993cf453219f","100001","9.0","0.0001","7.0","0.0001","2020-06-21T11:55:25","2020-06-21T11:55:46","21.0","0.0002","success"
"cedb5dd-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","c7739faf-c1e9-41c3-a75a-32fd4575293a","1000001","","","","","2020-06-21T11:23:35","2020-06-21T11:26:27","172.0","0.0002","success"
"628d73c","s3-sqs-lambda-async","nonlive","nonlive-conni-","c7619272-daf3-4318-afb5-d93d1fa023f7","10001","","","","","2020-06-20T10:02:55","2020-06-20T10:05:31","156.0","0.0156","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","c3f78e13-c975-4b1b-86f5-3e59cdbfaf57","101","","","","","2020-06-20T11:35:09","2020-06-20T11:35:12","3.0","0.0297","success"
"cedb5dd-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","34aaea77-4d7c-493e-b177-beee6a4ee05e","1001","","","","","2020-06-21T11:19:43","2020-06-21T11:19:44","1.0","0.001","success"
"cedb5dd-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","3b5863b1-326a-4f97-a73d-289ebc179b4b","101","","","","","2020-06-21T11:18:13","2020-06-21T11:18:14","1.0","0.0099","success"
"cedb5dd-dirty","s3-sqs-lambda-sync","nonlive","nonlive-conni-","a0422acd-a83d-43f4-ad98-badb16ff3ff9","101","","","","","2020-06-21T11:17:58","2020-06-21T11:18:04","6.0","0.0594","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","07f6a791-3eed-45e2-8307-89320a6e1942","11","","","","","2020-06-20T11:36:43","2020-06-20T11:36:43","0.0","0.0","success"
"67838f0","s3-sqs-lambda-async","nonlive","nonlive-conni-","2a6330b9-6600-450c-919b-5d228514c291","10001","","","","","2020-06-20T10:36:35","2020-06-20T10:39:08","153.0","0.0153","success"
"cedb5dd-dirty","s3-sqs-lambda-async-chunked","nonlive","nonlive-conni-","8fa4c989-7dc4-40c5-93aa-35a044f8b973","1001","","","","","2020-06-21T11:07:52","2020-06-21T11:07:54","2.0","0.002","success"
"c096b86","s3-sqs-lambda-async","nonlive","nonlive-conni-","25dd232b-8fca-4e96-b84d-15ffb28cb088","1001","","","","","2020-06-20T10:49:03","2020-06-20T10:49:23","20.0","0.02","success"
